age,income,loan_amount,loan_term,credit_score,num_credit_lines,num_delinquencies,employment_years,debt_to_income,home_ownership,loan_purpose,num_inquiries,savings_balance,months_last_delinq,default
32,56793,22811,36,525,4,2,3.5,0.192,RENT,HOME_IMPROVEMENT,5,2465.0,53.0,1
42,98335,11877,60,464,12,0,10.8,0.371,OWN,MEDICAL,3,8963.0,,1
64,42464,3450,36,725,3,2,6.1,0.232,MORTGAGE,DEBT_CONSOLIDATION,1,3349.0,65.0,0
45,31866,14931,36,672,11,3,6.2,0.197,RENT,DEBT_CONSOLIDATION,1,5452.0,33.0,0
69,36658,8630,24,714,6,0,3.7,0.364,MORTGAGE,MEDICAL,0,793.0,,0
47,92211,13362,12,577,1,0,9.2,0.333,RENT,AUTO,1,2555.0,,0
62,166040,42447,36,679,2,5,1.5,0.293,MORTGAGE,DEBT_CONSOLIDATION,0,4055.0,50.0,0
48,22287,15636,36,602,7,1,11.9,0.562,MORTGAGE,MEDICAL,0,1110.0,36.0,0
36,25408,6554,36,612,4,1,5.1,0.374,RENT,DEBT_CONSOLIDATION,1,425.0,71.0,0
35,44299,26241,36,722,5,0,2.9,0.073,OWN,AUTO,1,19125.0,,0
67,52395,17219,36,627,11,1,20.1,0.598,MORTGAGE,DEBT_CONSOLIDATION,2,490.0,41.0,0
64,78604,6035,48,580,10,0,9.9,0.416,RENT,DEBT_CONSOLIDATION,0,27728.0,,0
23,28719,4340,36,523,1,0,7.4,0.22,RENT,HOME_IMPROVEMENT,1,15817.0,,0
57,25904,6740,36,670,2,0,1.6,0.153,MORTGAGE,AUTO,2,5439.0,,0
27,53255,23990,36,730,4,0,18.2,0.277,RENT,AUTO,5,6547.0,,0
41,41980,10817,24,573,8,2,6.8,0.101,MORTGAGE,MEDICAL,0,,22.0,0
29,85480,14141,36,698,10,5,4.6,0.228,MORTGAGE,PERSONAL,2,2119.0,69.0,0
59,65671,5235,36,559,4,0,12.7,0.174,RENT,PERSONAL,0,2246.0,,0
38,68407,24447,36,703,14,1,0.9,0.46,RENT,DEBT_CONSOLIDATION,0,2831.0,56.0,0
24,46042,3260,36,642,3,0,0.7,0.151,MORTGAGE,DEBT_CONSOLIDATION,0,5704.0,,0
45,201460,8444,48,662,3,0,4.1,0.268,RENT,HOME_IMPROVEMENT,0,1528.0,,0
34,29654,17907,12,580,12,5,0.3,0.173,RENT,AUTO,3,1882.0,70.0,0
29,70720,6089,60,670,5,0,5.5,0.2,MORTGAGE,AUTO,3,,,0
46,22884,20535,12,589,3,0,1.4,0.448,RENT,DEBT_CONSOLIDATION,1,5452.0,,0
22,25743,7270,60,604,8,0,0.6,0.206,RENT,PERSONAL,1,,,1
40,34050,5663,36,511,5,1,2.6,0.1,MORTGAGE,AUTO,0,11092.0,55.0,0
48,130300,32877,36,574,12,0,3.1,0.151,MORTGAGE,HOME_IMPROVEMENT,1,2521.0,,0
67,57431,14880,24,595,14,0,0.9,0.313,RENT,PERSONAL,0,,,0
27,34397,19213,12,666,12,2,0.2,0.376,MORTGAGE,HOME_IMPROVEMENT,0,87034.0,51.0,0
64,61369,27248,24,690,14,0,2.7,0.311,MORTGAGE,MEDICAL,0,4012.0,,0
28,50066,2136,24,588,7,0,,0.341,MORTGAGE,DEBT_CONSOLIDATION,3,1283.0,,0
67,36491,20834,48,626,11,0,10.4,0.344,OWN,HOME_IMPROVEMENT,0,1711.0,,1
55,21206,7842,36,783,8,0,0.5,0.358,RENT,DEBT_CONSOLIDATION,2,4417.0,,1
34,116207,8600,48,651,5,1,,0.492,OWN,AUTO,0,4378.0,12.0,1
37,55597,18146,24,594,8,1,1.5,0.249,OWN,DEBT_CONSOLIDATION,3,6681.0,62.0,0
56,180637,10362,60,497,12,2,2.3,0.436,RENT,PERSONAL,0,395.0,68.0,0
60,86180,20255,36,567,3,0,13.5,0.156,RENT,PERSONAL,0,854.0,,0
24,68240,12983,24,564,14,0,2.2,0.306,MORTGAGE,HOME_IMPROVEMENT,1,2853.0,,0
22,37755,15029,36,808,12,0,2.3,0.303,MORTGAGE,HOME_IMPROVEMENT,7,1822.0,,0
26,25407,9479,24,567,7,0,1.2,0.513,RENT,DEBT_CONSOLIDATION,3,898.0,,0
62,43017,6339,24,644,8,0,16.1,0.044,RENT,DEBT_CONSOLIDATION,1,5887.0,,0
24,24970,7957,36,671,7,0,3.0,0.256,MORTGAGE,MEDICAL,0,6591.0,,0
49,72411,12432,48,734,14,0,4.2,0.331,MORTGAGE,PERSONAL,0,34075.0,,0
38,130560,48343,60,640,2,1,3.0,0.518,MORTGAGE,AUTO,3,9100.0,31.0,1
46,41917,37434,36,596,8,0,1.5,0.426,MORTGAGE,HOME_IMPROVEMENT,3,6802.0,,0
64,86396,8457,60,590,6,0,8.3,0.341,MORTGAGE,DEBT_CONSOLIDATION,1,2905.0,,0
54,32418,13935,60,670,10,0,0.1,0.147,RENT,DEBT_CONSOLIDATION,1,124118.0,,0
30,40885,10923,60,581,3,0,5.9,0.232,MORTGAGE,DEBT_CONSOLIDATION,2,2356.0,,0
56,30062,14635,36,546,4,1,4.5,0.359,MORTGAGE,AUTO,1,2331.0,50.0,0
34,13631,16014,24,596,7,0,0.8,0.338,MORTGAGE,PERSONAL,1,12826.0,,0
51,47958,19327,24,527,3,0,0.9,0.155,OWN,HOME_IMPROVEMENT,0,454.0,,0
68,52948,1753,36,797,1,0,5.4,0.225,OWN,AUTO,0,3283.0,,0
35,92922,17267,36,690,6,0,1.9,0.252,MORTGAGE,HOME_IMPROVEMENT,1,4157.0,,0
28,79005,10105,24,777,3,2,1.5,0.52,OWN,MEDICAL,3,2154.0,71.0,0
34,79648,8156,36,681,11,5,0.3,0.129,RENT,DEBT_CONSOLIDATION,2,14241.0,69.0,0
43,27326,23295,12,769,10,0,7.3,0.449,RENT,MEDICAL,2,6912.0,,0
60,64582,37301,48,671,6,1,10.7,0.288,RENT,AUTO,4,5348.0,68.0,0
41,126697,21640,12,701,10,0,8.6,0.044,RENT,HOME_IMPROVEMENT,1,3973.0,,0
36,61569,9293,36,458,12,0,3.1,0.249,MORTGAGE,PERSONAL,0,2285.0,,0
65,146848,6291,48,562,3,0,,0.246,RENT,AUTO,0,245.0,,0
38,164617,1629,24,643,6,3,1.4,0.198,RENT,HOME_IMPROVEMENT,5,7369.0,66.0,0
67,41728,15180,36,645,11,0,0.9,0.502,MORTGAGE,DEBT_CONSOLIDATION,1,12667.0,,0
44,32268,20037,48,633,4,5,8.7,0.687,RENT,MEDICAL,3,3608.0,56.0,1
46,31043,12440,24,678,13,0,8.0,0.139,MORTGAGE,PERSONAL,1,521.0,,0
45,19738,25684,24,682,4,0,7.5,0.196,OWN,PERSONAL,1,1914.0,,0
65,35917,5302,36,713,10,2,3.1,0.298,MORTGAGE,DEBT_CONSOLIDATION,0,1961.0,42.0,0
61,101174,11851,36,696,10,3,10.0,0.418,RENT,DEBT_CONSOLIDATION,3,2005.0,49.0,1
49,13064,11213,36,742,11,2,13.0,0.248,MORTGAGE,AUTO,0,6980.0,68.0,0
35,26305,12369,24,743,2,2,2.0,0.266,RENT,HOME_IMPROVEMENT,4,,9.0,0
65,45421,30259,36,654,14,0,1.3,0.308,MORTGAGE,MEDICAL,0,2831.0,,0
21,28961,12414,24,816,4,0,3.1,0.2,OWN,PERSONAL,0,2960.0,,0
45,35726,10869,48,755,11,0,1.0,0.407,RENT,MEDICAL,0,25992.0,,0
27,36048,6935,36,571,12,0,10.8,0.296,MORTGAGE,DEBT_CONSOLIDATION,4,6094.0,,0
29,42002,33861,48,673,4,4,2.1,0.169,OWN,DEBT_CONSOLIDATION,0,2054.0,54.0,0
44,31645,4906,36,483,11,2,4.3,0.404,MORTGAGE,HOME_IMPROVEMENT,1,22160.0,28.0,1
21,30130,9072,48,497,7,2,4.5,0.519,OWN,DEBT_CONSOLIDATION,0,759.0,66.0,0
64,85870,43729,36,597,5,0,3.6,0.528,MORTGAGE,PERSONAL,0,1520.0,,1
28,92023,18542,36,565,8,1,0.9,0.139,RENT,PERSONAL,1,342.0,13.0,0
44,21411,13172,36,598,7,3,23.6,0.399,MORTGAGE,HOME_IMPROVEMENT,7,28469.0,59.0,0
31,9360,13564,48,667,10,0,0.9,0.353,OWN,DEBT_CONSOLIDATION,3,4810.0,,0
37,92784,6888,36,744,9,0,7.0,0.289,OWN,DEBT_CONSOLIDATION,0,,,0
28,23452,12734,36,739,8,1,7.8,0.329,MORTGAGE,DEBT_CONSOLIDATION,4,18233.0,53.0,0
55,55695,10458,36,675,9,1,0.8,0.138,RENT,PERSONAL,1,1713.0,36.0,1
55,19160,15150,48,547,1,5,13.5,0.155,MORTGAGE,DEBT_CONSOLIDATION,0,2036.0,69.0,0
53,106794,4655,48,592,10,0,3.3,0.378,MORTGAGE,MEDICAL,2,15083.0,,0
25,225528,17650,36,694,13,0,5.0,0.227,OWN,PERSONAL,0,,,0
62,54704,27218,48,569,12,0,5.1,0.468,MORTGAGE,AUTO,4,1935.0,,0
59,46330,11583,36,532,3,0,,0.415,RENT,HOME_IMPROVEMENT,2,3972.0,,0
61,40405,21015,60,681,5,1,0.8,0.318,OWN,MEDICAL,0,5670.0,6.0,0
48,78361,16601,48,635,9,0,7.0,0.175,MORTGAGE,PERSONAL,1,9484.0,,0
27,68914,8731,36,622,8,4,4.4,0.033,MORTGAGE,HOME_IMPROVEMENT,1,2761.0,4.0,0
29,89509,6368,36,734,14,3,0.6,0.199,RENT,DEBT_CONSOLIDATION,1,413.0,53.0,0
28,33633,7024,48,732,10,0,6.0,0.252,RENT,AUTO,1,5767.0,,0
32,60118,16400,36,791,7,0,6.1,0.126,MORTGAGE,DEBT_CONSOLIDATION,1,4744.0,,0
54,35402,12845,60,584,2,1,4.0,0.119,RENT,DEBT_CONSOLIDATION,1,4579.0,38.0,0
53,25987,32616,24,676,11,2,0.5,0.418,RENT,DEBT_CONSOLIDATION,2,1363.0,36.0,1
68,47829,23240,12,641,6,0,2.2,0.182,OWN,DEBT_CONSOLIDATION,4,317.0,,1
43,28184,23206,12,668,4,0,0.3,0.21,RENT,DEBT_CONSOLIDATION,0,3494.0,,0
44,99135,16061,36,543,5,1,3.2,0.388,MORTGAGE,PERSONAL,1,1062.0,66.0,0
57,29227,6812,60,520,14,1,11.8,0.398,RENT,PERSONAL,2,7511.0,18.0,0
55,60969,16777,12,636,5,0,0.0,0.518,MORTGAGE,PERSONAL,0,9634.0,,0
64,34130,13970,48,568,13,2,1.6,0.529,MORTGAGE,DEBT_CONSOLIDATION,4,492.0,39.0,0
60,57886,6022,48,719,4,4,8.0,0.353,RENT,DEBT_CONSOLIDATION,0,1463.0,51.0,0
42,35796,31162,48,512,4,0,0.0,0.298,MORTGAGE,DEBT_CONSOLIDATION,3,33393.0,,0
47,23056,28900,36,519,4,1,0.1,0.43,MORTGAGE,AUTO,2,,34.0,0
55,65530,5997,48,604,11,0,4.7,0.282,RENT,DEBT_CONSOLIDATION,1,4705.0,,0
21,42563,8549,12,509,2,0,,0.183,RENT,AUTO,3,11413.0,,0
55,58197,9091,48,782,1,0,7.5,0.531,RENT,DEBT_CONSOLIDATION,5,4865.0,,0
57,37900,20474,24,624,12,0,7.6,0.287,MORTGAGE,PERSONAL,7,15009.0,,0
67,22098,18888,36,588,2,2,2.2,0.184,MORTGAGE,PERSONAL,2,12292.0,54.0,0
34,93893,13782,48,679,7,1,10.7,0.187,MORTGAGE,DEBT_CONSOLIDATION,0,20533.0,25.0,0
23,76272,16183,24,715,12,0,0.1,0.456,MORTGAGE,PERSONAL,4,4562.0,,0
21,34885,5424,24,657,1,0,1.9,0.196,OWN,HOME_IMPROVEMENT,2,2158.0,,0
25,51117,17448,48,634,6,1,2.1,0.395,MORTGAGE,PERSONAL,0,658.0,63.0,0
46,91602,12449,36,556,4,0,0.9,0.355,OWN,AUTO,5,6285.0,,1
34,37264,8305,36,693,2,0,2.0,0.216,OWN,DEBT_CONSOLIDATION,2,18387.0,,0
59,40899,4570,24,760,3,1,,0.552,OWN,PERSONAL,1,1390.0,17.0,0
47,56737,13614,12,621,7,3,3.7,0.426,RENT,DEBT_CONSOLIDATION,1,1607.0,31.0,0
29,37218,17152,36,567,6,0,1.9,0.089,MORTGAGE,HOME_IMPROVEMENT,7,2281.0,,0
35,81982,4057,24,655,6,1,6.9,0.448,MORTGAGE,DEBT_CONSOLIDATION,1,1127.0,6.0,1
35,44296,13534,60,640,8,0,6.3,0.261,MORTGAGE,DEBT_CONSOLIDATION,0,,,0
46,30625,14553,12,536,8,1,1.6,0.145,MORTGAGE,DEBT_CONSOLIDATION,1,1891.0,36.0,0
62,70628,9064,36,597,6,1,2.0,0.19,MORTGAGE,PERSONAL,4,774.0,8.0,0
33,24704,17429,12,792,1,2,1.7,0.376,OWN,PERSONAL,1,1239.0,10.0,0
52,164214,12175,12,525,10,1,0.7,0.074,RENT,AUTO,3,23719.0,24.0,1
59,126690,16289,48,581,13,0,,0.338,OWN,PERSONAL,0,4216.0,,0
69,66709,19418,36,559,7,0,0.2,0.305,MORTGAGE,PERSONAL,2,23971.0,,0
52,63424,19426,12,566,8,0,0.8,0.363,MORTGAGE,DEBT_CONSOLIDATION,0,1802.0,,0
24,61665,27222,12,602,5,1,0.6,0.28,MORTGAGE,DEBT_CONSOLIDATION,1,,20.0,0
50,36554,16930,12,678,13,3,8.7,0.206,OWN,MEDICAL,1,2552.0,33.0,0
57,58594,9567,48,751,11,1,0.2,0.186,RENT,HOME_IMPROVEMENT,5,30870.0,14.0,0
43,28173,8489,36,657,4,2,5.5,0.485,MORTGAGE,HOME_IMPROVEMENT,0,177.0,54.0,1
59,66323,6347,12,581,7,0,0.2,0.262,RENT,DEBT_CONSOLIDATION,0,378.0,,0
65,82513,14851,36,770,12,0,,0.188,MORTGAGE,DEBT_CONSOLIDATION,0,2476.0,,0
35,39071,33689,48,464,12,0,12.2,0.176,RENT,MEDICAL,0,14374.0,,0
63,34301,10395,60,697,11,0,,0.086,MORTGAGE,PERSONAL,0,940.0,,0
49,23683,18301,60,552,13,0,8.2,0.247,OWN,HOME_IMPROVEMENT,3,4549.0,,0
56,117568,7890,36,635,6,2,6.1,0.037,OWN,MEDICAL,1,3376.0,70.0,0
33,35976,15312,24,687,12,0,7.9,0.086,MORTGAGE,PERSONAL,3,17215.0,,0
52,43510,32259,24,503,6,1,7.3,0.332,RENT,PERSONAL,0,73774.0,66.0,0
27,58694,21598,48,652,14,2,1.1,0.332,MORTGAGE,HOME_IMPROVEMENT,3,1309.0,61.0,1
42,58065,4449,60,658,3,0,3.5,0.207,MORTGAGE,HOME_IMPROVEMENT,0,2291.0,,0
48,76721,19920,36,764,11,2,16.1,0.22,MORTGAGE,DEBT_CONSOLIDATION,5,3336.0,44.0,0
22,39042,20565,36,850,10,0,,0.367,MORTGAGE,PERSONAL,2,1256.0,,0
62,24755,15085,36,507,4,0,17.6,0.174,RENT,DEBT_CONSOLIDATION,1,36434.0,,0
65,22288,21317,36,760,5,0,4.4,0.101,MORTGAGE,AUTO,1,854.0,,0
26,34629,7454,24,636,9,0,3.1,0.355,MORTGAGE,DEBT_CONSOLIDATION,5,18649.0,,0
48,27692,13965,36,571,8,2,5.4,0.346,OWN,DEBT_CONSOLIDATION,1,2087.0,15.0,0
48,40857,29060,12,671,3,3,8.5,0.148,OWN,MEDICAL,0,3361.0,53.0,0
64,107425,27282,24,529,6,0,2.5,0.497,MORTGAGE,HOME_IMPROVEMENT,1,4265.0,,0
64,39090,19607,48,534,10,0,0.2,0.309,RENT,DEBT_CONSOLIDATION,4,1947.0,,1
40,39082,7200,12,492,1,0,6.2,0.165,MORTGAGE,MEDICAL,6,10020.0,,0
50,48541,6449,12,686,3,1,15.6,0.266,MORTGAGE,HOME_IMPROVEMENT,1,6352.0,51.0,0
31,38431,14475,24,667,10,0,4.9,0.037,RENT,DEBT_CONSOLIDATION,0,26665.0,,0
48,47078,15162,60,570,14,1,1.0,0.276,RENT,HOME_IMPROVEMENT,3,8347.0,64.0,1
45,67814,12453,48,769,12,2,1.4,0.068,RENT,PERSONAL,7,767.0,11.0,0
59,83354,7606,12,583,7,0,12.0,0.389,RENT,HOME_IMPROVEMENT,1,2986.0,,0
53,89494,18140,36,749,7,5,0.1,0.526,OWN,MEDICAL,1,28439.0,54.0,0
21,168402,14431,24,650,2,0,4.0,0.145,RENT,DEBT_CONSOLIDATION,1,1736.0,,0
47,68983,16365,36,582,3,5,0.9,0.104,RENT,DEBT_CONSOLIDATION,0,25123.0,7.0,0
33,187341,20240,48,630,7,0,1.7,0.27,MORTGAGE,DEBT_CONSOLIDATION,6,9306.0,,0
61,30764,11031,60,533,12,0,1.8,0.517,OWN,DEBT_CONSOLIDATION,3,10349.0,,0
23,171918,9489,36,658,6,2,1.2,0.181,MORTGAGE,HOME_IMPROVEMENT,0,226.0,21.0,0
59,39018,29007,60,642,13,1,7.9,0.066,MORTGAGE,AUTO,5,6291.0,69.0,0
26,41390,7862,60,684,7,2,2.0,0.132,MORTGAGE,DEBT_CONSOLIDATION,5,54325.0,36.0,1
28,45619,9620,60,714,10,0,2.1,0.216,RENT,DEBT_CONSOLIDATION,0,1174.0,,0
47,42995,31697,36,649,9,4,3.0,0.131,RENT,AUTO,2,28804.0,53.0,0
29,51612,9110,36,514,8,0,11.6,0.101,RENT,DEBT_CONSOLIDATION,0,4629.0,,0
57,34613,12469,36,719,6,0,5.8,0.507,MORTGAGE,HOME_IMPROVEMENT,0,1279.0,,0
53,80658,10013,12,641,12,0,0.3,0.124,MORTGAGE,DEBT_CONSOLIDATION,1,2512.0,,0
62,35182,3834,24,479,14,2,0.2,0.121,RENT,DEBT_CONSOLIDATION,0,395.0,34.0,0
64,72647,12255,48,666,4,1,,0.179,MORTGAGE,DEBT_CONSOLIDATION,4,3834.0,29.0,0
44,122594,6585,36,672,14,0,10.9,0.187,RENT,DEBT_CONSOLIDATION,4,6221.0,,0
35,39567,15966,60,609,13,0,2.0,0.332,RENT,HOME_IMPROVEMENT,0,78772.0,,0
52,78955,28968,12,623,10,0,1.4,0.425,MORTGAGE,DEBT_CONSOLIDATION,0,6015.0,,0
52,68562,2836,24,589,9,0,6.9,0.092,RENT,DEBT_CONSOLIDATION,0,23392.0,,0
44,189422,10048,48,675,7,0,4.6,0.29,MORTGAGE,PERSONAL,4,994.0,,0
61,36210,18336,36,651,5,1,4.2,0.284,MORTGAGE,AUTO,2,2874.0,51.0,0
69,78987,2898,24,562,2,1,0.8,0.19,MORTGAGE,PERSONAL,2,5507.0,49.0,0
69,18479,34043,60,777,9,4,1.0,0.155,RENT,DEBT_CONSOLIDATION,3,1188.0,52.0,0
32,36406,17430,48,583,14,0,1.7,0.357,RENT,DEBT_CONSOLIDATION,0,2744.0,,0
59,60599,28517,36,409,7,0,1.2,0.306,MORTGAGE,PERSONAL,0,12882.0,,0
22,113085,9002,48,599,9,0,17.8,0.355,OWN,PERSONAL,0,85984.0,,0
23,23493,9795,48,727,11,1,0.1,0.176,MORTGAGE,PERSONAL,2,10586.0,7.0,1
69,78563,11936,48,622,9,0,4.9,0.41,RENT,DEBT_CONSOLIDATION,2,1451.0,,0
57,47196,59680,48,501,10,3,3.6,0.404,MORTGAGE,DEBT_CONSOLIDATION,0,3472.0,31.0,0
69,19675,33613,12,552,5,1,2.0,0.513,MORTGAGE,AUTO,1,,4.0,0
37,54664,14657,36,548,7,0,10.9,0.323,MORTGAGE,AUTO,2,5088.0,,1
69,136694,15964,12,591,5,0,5.5,0.179,RENT,DEBT_CONSOLIDATION,0,25198.0,,0
22,25028,20836,12,617,3,2,32.0,0.288,MORTGAGE,MEDICAL,0,5389.0,25.0,0
22,45892,71260,60,681,10,1,0.9,0.556,MORTGAGE,DEBT_CONSOLIDATION,0,3596.0,34.0,0
48,27120,17464,36,650,8,0,0.5,0.293,OWN,AUTO,0,3334.0,,0
43,37007,13797,48,654,8,0,0.8,0.206,RENT,HOME_IMPROVEMENT,2,4683.0,,0
57,115763,10541,48,791,9,1,1.6,0.246,MORTGAGE,PERSONAL,0,31784.0,4.0,0
52,41651,15748,60,713,11,1,2.7,0.25,MORTGAGE,PERSONAL,4,9911.0,48.0,1
53,113657,8858,60,705,14,0,9.9,0.248,MORTGAGE,DEBT_CONSOLIDATION,0,952.0,,0
21,95362,18907,36,485,12,0,1.7,0.265,MORTGAGE,DEBT_CONSOLIDATION,1,1684.0,,0
39,39433,4901,36,576,6,0,12.3,0.471,RENT,HOME_IMPROVEMENT,4,17853.0,,1
22,36259,11133,24,504,2,4,3.1,0.275,MORTGAGE,DEBT_CONSOLIDATION,0,,61.0,0
64,28635,22342,36,574,3,0,5.2,0.193,MORTGAGE,PERSONAL,1,337.0,,0
46,28042,17299,36,707,13,2,1.5,0.08,RENT,HOME_IMPROVEMENT,0,14361.0,6.0,0
52,60592,9664,36,606,11,1,0.8,0.234,RENT,DEBT_CONSOLIDATION,0,2101.0,21.0,0
26,48442,11357,48,731,12,0,10.2,0.292,MORTGAGE,PERSONAL,2,1459.0,,0
52,33720,27577,60,698,10,1,0.6,0.305,OWN,DEBT_CONSOLIDATION,0,14136.0,28.0,0
24,19356,5726,48,644,11,0,7.4,0.439,RENT,DEBT_CONSOLIDATION,0,13040.0,,0
31,52245,5749,36,733,6,1,4.3,0.505,OWN,PERSONAL,5,3162.0,27.0,0
37,36985,6969,36,755,1,1,9.9,0.205,RENT,PERSONAL,2,6430.0,32.0,0
58,43600,13260,12,678,14,0,6.3,0.253,MORTGAGE,DEBT_CONSOLIDATION,0,1654.0,,0
44,58853,5168,24,659,2,0,1.7,0.293,RENT,DEBT_CONSOLIDATION,1,1391.0,,0
25,10926,26033,48,693,8,2,4.3,0.209,RENT,PERSONAL,0,2291.0,46.0,1
54,19536,6995,24,520,11,0,0.1,0.301,MORTGAGE,DEBT_CONSOLIDATION,0,2313.0,,0
26,194437,15632,48,630,8,0,3.2,0.484,MORTGAGE,MEDICAL,0,1674.0,,0
42,36172,8907,36,637,6,0,0.4,0.261,MORTGAGE,AUTO,2,11444.0,,0
31,10824,12761,24,608,3,3,2.8,0.292,RENT,DEBT_CONSOLIDATION,1,4167.0,16.0,0
68,20538,4349,24,572,14,1,0.6,0.303,MORTGAGE,AUTO,3,1044.0,68.0,0
36,217658,26928,36,724,2,1,15.6,0.53,MORTGAGE,DEBT_CONSOLIDATION,0,1607.0,40.0,0
53,32151,6815,36,654,13,0,3.7,0.079,MORTGAGE,HOME_IMPROVEMENT,3,745.0,,0
29,98264,6334,48,662,6,0,12.2,0.18,MORTGAGE,DEBT_CONSOLIDATION,0,3299.0,,0
26,52716,70637,48,761,1,0,0.1,0.444,OWN,DEBT_CONSOLIDATION,2,23893.0,,0
36,36645,19693,36,623,14,0,5.1,0.178,MORTGAGE,AUTO,1,5349.0,,0
49,78063,26205,48,606,10,1,1.8,0.241,MORTGAGE,PERSONAL,0,,53.0,0
23,11724,18421,36,755,6,1,2.8,0.192,RENT,HOME_IMPROVEMENT,3,533.0,59.0,0
40,20647,9733,60,513,9,0,10.3,0.107,OWN,DEBT_CONSOLIDATION,0,21577.0,,0
56,36483,5352,24,644,7,1,19.6,0.164,MORTGAGE,MEDICAL,5,3866.0,66.0,0
39,21900,10838,48,577,9,0,1.4,0.152,RENT,HOME_IMPROVEMENT,3,4166.0,,0
46,34597,6736,36,664,2,0,14.8,0.274,RENT,HOME_IMPROVEMENT,1,818.0,,0
23,81816,7026,24,688,11,3,5.8,0.39,MORTGAGE,DEBT_CONSOLIDATION,7,3112.0,64.0,0
39,53065,4411,24,693,14,1,15.1,0.251,MORTGAGE,AUTO,0,1108.0,51.0,0
40,108920,14474,36,727,5,1,4.1,0.206,MORTGAGE,DEBT_CONSOLIDATION,1,1509.0,6.0,0
52,55118,40191,24,618,9,0,16.2,0.297,MORTGAGE,DEBT_CONSOLIDATION,4,398.0,,0
27,88919,19746,24,623,7,0,11.1,0.295,MORTGAGE,PERSONAL,7,291.0,,0
61,47172,12406,60,684,9,0,0.7,0.234,MORTGAGE,AUTO,0,60257.0,,0
53,34401,12986,48,715,14,3,1.9,0.362,RENT,HOME_IMPROVEMENT,2,4722.0,28.0,1
60,119174,1582,48,529,11,1,1.4,0.188,MORTGAGE,PERSONAL,0,16135.0,24.0,0
59,32029,9930,48,666,6,0,4.2,0.095,OWN,DEBT_CONSOLIDATION,2,2504.0,,0
38,60253,4921,60,606,7,2,8.1,0.373,OWN,PERSONAL,0,2892.0,22.0,0
60,77757,14678,36,647,10,0,7.1,0.151,RENT,PERSONAL,0,920.0,,0
21,81218,11137,24,609,5,2,6.5,0.166,RENT,PERSONAL,0,8038.0,37.0,0
31,24361,7270,60,578,6,0,2.4,0.354,RENT,PERSONAL,1,9610.0,,0
48,92150,14448,48,553,1,0,0.8,0.095,MORTGAGE,DEBT_CONSOLIDATION,2,7192.0,,0
45,27245,14361,36,627,1,0,1.2,0.444,MORTGAGE,AUTO,1,3653.0,,0
